epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,66.4433,1.19814,1.01512,1.35437,0.88938,0.88889,0.95527,0.69888,1.08648,1.1268,1.35936,0.0011882,0.0011882,0.0011882
43,67.7079,1.09153,0.96722,1.30219,0.92823,0.83333,0.95669,0.67903,1.09211,1.17479,1.33765,0.0011684,0.0011684,0.0011684
44,68.979,1.13696,1.00572,1.30854,0.92605,0.94444,0.97646,0.69188,1.10626,1.03116,1.31867,0.0011486,0.0011486,0.0011486
45,70.232,1.16178,1.04591,1.30791,0.8562,0.99269,0.97213,0.70272,1.07932,0.96646,1.28451,0.0011288,0.0011288,0.0011288
46,71.507,1.0981,0.94317,1.28042,0.93289,0.88889,0.95873,0.6773,1.11979,0.9976,1.34599,0.001109,0.001109,0.001109
47,72.7448,1.11004,0.88736,1.32473,0.84109,0.88889,0.95108,0.66606,1.11692,1.09186,1.37556,0.0010892,0.0010892,0.0010892
48,73.9706,1.12885,0.95853,1.3386,1,0.82035,0.96319,0.67885,1.2297,0.94369,1.44097,0.0010694,0.0010694,0.0010694
49,75.1813,1.10555,0.99202,1.31251,0.88358,1,0.98106,0.68492,1.16467,0.94779,1.32752,0.0010496,0.0010496,0.0010496
50,76.3788,1.01116,0.87838,1.25006,0.94401,0.9371,0.9808,0.72056,1.01996,0.92401,1.24312,0.0010298,0.0010298,0.0010298
51,77.6233,1.1383,0.94731,1.32735,1,0.82967,0.9652,0.71638,1.02488,0.99643,1.25933,0.00101,0.00101,0.00101
52,78.8347,1.10599,0.86176,1.3189,1,0.87106,0.975,0.66187,1.17849,1.09158,1.43519,0.0009902,0.0009902,0.0009902
53,80.0707,1.0456,0.88255,1.28615,0.89327,0.93055,0.90743,0.57151,1.3134,1.381,1.63006,0.0009704,0.0009704,0.0009704
54,81.32,1.04621,0.84192,1.28473,0.94264,0.91385,0.98452,0.69598,1.04788,1.05701,1.29956,0.0009506,0.0009506,0.0009506
55,82.5436,1.04751,0.88778,1.27663,0.93955,0.94444,0.96599,0.70783,0.99136,0.98585,1.29079,0.0009308,0.0009308,0.0009308
56,83.7576,1.02972,0.90424,1.23836,1,0.93495,0.9825,0.701,1.02397,0.9326,1.31136,0.000911,0.000911,0.000911
57,84.9646,1.0724,0.96379,1.28414,0.99186,0.94444,0.981,0.70558,1.04988,0.89176,1.33967,0.0008912,0.0008912,0.0008912
58,86.1689,1.00026,0.84381,1.28292,0.99418,0.94444,0.98591,0.69313,1.11444,0.88611,1.363,0.0008714,0.0008714,0.0008714
59,87.3618,1.03437,0.86577,1.26235,0.94407,0.93803,0.96758,0.68061,1.12541,0.91693,1.36512,0.0008516,0.0008516,0.0008516
60,88.5813,0.9884,0.80819,1.31474,0.91692,0.88889,0.95767,0.65275,1.1282,0.97466,1.33026,0.0008318,0.0008318,0.0008318
61,89.782,0.90218,0.79463,1.22173,0.91558,0.88889,0.95206,0.6484,1.11728,0.93004,1.33805,0.000812,0.000812,0.000812
